item_code,item_name,price,material,composition,material_category
100000,DRESS PRINTED,€15.99,Viscose (Rayon),100,Synthetic
100001,DRESS CONTRAST LACE,€15.99,Lyocell (Tencel),97,Synthetic
100001,DRESS CONTRAST LACE,€15.99,Polyester,3,Synthetic
100002,DRESS LONG PRINTED,€15.99,Polyester,100,Synthetic
100002,DRESS LONG PRINTED,€15.99,Polyester,100,Synthetic
100003,DRESS MIDI PRINTED,€19.99,Viscose (Rayon),100,Synthetic
100004,DRESS MIDI LACE,€19.99,Viscose (Rayon),100,Synthetic
100006,DRESS MIDI BELT,€15.99,Polyester,100,Synthetic
100007,DRESS PRINTED FROG CLOSURES,€19.99,Polyester,100,Synthetic
100008,DRESS MINI KNIT,€12.99,Acrylic,58,Synthetic
100008,DRESS MINI KNIT,€12.99,Polyester,30,Synthetic
100008,DRESS MINI KNIT,€12.99,Nylon,12,Synthetic
100009,DRESS PRINTED FLORAL,€19.99,Viscose (Rayon),100,Synthetic
100011,DRESS MIDI Satinado,€15.99,Viscose (Rayon),100,Synthetic
100013,DRESS KNIT Perlado,€12.99,Acrylic,59,Synthetic
100013,DRESS KNIT Perlado,€12.99,Polyester,30,Synthetic
100013,DRESS KNIT Perlado,€12.99,Nylon,11,Synthetic
100014,DRESS Satinado Cintura Elástica,€15.99,Polyester,100,Synthetic
100015,DRESS PRINTED BOW,€15.99,Viscose (Rayon),100,Synthetic
100017,DRESS JACQUARD,€15.99,Viscose (Rayon),100,Synthetic
100018,DRESS PRINTED Volumen,€19.99,Polyester,100,Synthetic
100018,DRESS PRINTED Volumen,€19.99,Polyester,100,Synthetic
100019,DRESS Fluido SHOULDER PADS,€12.99,Polyester,100,Synthetic
100019,DRESS Fluido SHOULDER PADS,€12.99,Polyester,100,Synthetic
100021,DRESS MINI Abertura,€12.99,Polyester,100,Synthetic
100022,DRESS Volumen,€15.99,Cotton,100,Natural
100024,DRESS SHOULDER PADS,€7.99,Cotton,100,Natural
100025,DRESS Fluido,€12.99,Lyocell (Tencel),100,Synthetic
100026,DRESS Drapeado,€7.99,Polyester,71,Synthetic
100026,DRESS Drapeado,€7.99,Viscose (Rayon),23,Synthetic
100026,DRESS Drapeado,€7.99,Elastane (Spandex),6,Synthetic
100027,DRESS PRINTED Animal,€19.99,Viscose (Rayon),100,Synthetic
100028,DRESS Lencero Frunce,€15.99,Viscose (Rayon),100,Synthetic
100029,DRESS MINI PRINTED,€29.95,Viscose (Rayon),100,Synthetic
100029,DRESS MINI PRINTED,€29.95,Polyester,100,Synthetic
100030,DRESS THREAD METALLIC,€19.99,Polyester,100,Synthetic
100030,DRESS THREAD METALLIC,€19.99,Viscose (Rayon),60,Synthetic
100030,DRESS THREAD METALLIC,€19.99,Polyester,37,Synthetic
100030,DRESS THREAD METALLIC,€19.99,Metallic Fiber,3,Synthetic
100031,DRESS PRINTED Animal,€19.99,Polyester,100,Synthetic
100031,DRESS PRINTED Animal,€19.99,Polyester,100,Synthetic
100032,DRESS SHIRT DRESS,€15.99,Polyester,100,Synthetic
100032,DRESS SHIRT DRESS,€15.99,Cotton,59,Natural
100032,DRESS SHIRT DRESS,€15.99,Polyamide (Nylon),35,Synthetic
100032,DRESS SHIRT DRESS,€15.99,Elastane (Spandex),6,Synthetic
100033,DRESS MINI POLKA DOT,€15.99,Polyester,100,Synthetic
100034,DRESS JACQUARD BELT,€19.99,Polyester,100,Synthetic
100035,DRESS Lencero Frunces,€15.99,Viscose (Rayon),100,Synthetic
100036,DRESS SHOULDER PADS JACQUARD,€7.99,Polyester,54,Synthetic
100036,DRESS SHOULDER PADS JACQUARD,€7.99,Cotton,45,Natural
100036,DRESS SHOULDER PADS JACQUARD,€7.99,Elastane (Spandex),1,Synthetic
100037,DRESS Fluido,€12.99,Polyester,100,Synthetic
100037,DRESS Fluido,€12.99,Polyester,100,Synthetic
100038,DRESS Drapeado PRINTED,€15.99,Viscose (Rayon),100,Synthetic
100039,DRESS LONG PRINTED Animal,€15.99,Polyester,100,Synthetic
100039,DRESS LONG PRINTED Animal,€15.99,Polyester,100,Synthetic
100040,DRESS PRINTED,€19.99,Viscose (Rayon),100,Synthetic
100041,DRESS STRUCTURED,€15.99,Polyester,99,Synthetic
100041,DRESS STRUCTURED,€15.99,Elastane (Spandex),1,Synthetic
100042,DRESS Botones,€15.99,Lyocell (Tencel),100,Synthetic
100043,DRESS MINI Plumeti,€15.99,Polyester,100,Synthetic
100044,DRESS MIDI PRINTED,€19.99,Viscose (Rayon),100,Synthetic
100045,DRESS Fluido Drapeado,€12.99,Polyester,100,Synthetic
100045,DRESS Fluido Drapeado,€12.99,Polyester,100,Synthetic
100046,DRESS MINI PRINTED,€15.99,Viscose (Rayon),100,Synthetic
100047,DRESS SHOULDER PADS JACQUARD,€7.99,Polyester,54,Synthetic
100047,DRESS SHOULDER PADS JACQUARD,€7.99,Cotton,45,Natural
100047,DRESS SHOULDER PADS JACQUARD,€7.99,Elastane (Spandex),1,Synthetic
100048,DRESS HALTER,€9.99,Cotton,100,Natural
100050,DRESS SHOULDER PADS,€12.99,Polyester,100,Synthetic
100051,DRESS Ajustado,€19.95,Cotton,53,Natural
100051,DRESS Ajustado,€19.95,Polyester,44,Synthetic
100051,DRESS Ajustado,€19.95,Elastane (Spandex),3,Synthetic
100052,DRESS PRINTED,€15.99,Polyester,100,Synthetic
100053,DRESS Rib,€7.99,Cotton,96,Natural
100053,DRESS Rib,€7.99,Elastane (Spandex),4,Synthetic
100054,DRESS SHIRT DRESS PRINTED,€15.99,Viscose (Rayon),100,Synthetic
100055,DRESS VELVET,€15.99,Polyester,92,Synthetic
100055,DRESS VELVET,€15.99,Elastane (Spandex),8,Synthetic
100056,DRESS SHOULDER PADS,€7.99,Cotton,100,Natural
100057,DRESS Rib,€7.99,Cotton,96,Natural
100057,DRESS Rib,€7.99,Elastane (Spandex),4,Synthetic
200000,SHIRT POPLIN,€19.95,Cotton,100,Natural
200001,SHIRT POPLIN,€19.95,Cotton,100,Natural
200002,BLOUSE THREAD METALLIC,€39.95,Viscose (Rayon),62,Synthetic
200002,BLOUSE THREAD METALLIC,€39.95,Metallic Fiber,37,Synthetic
200002,BLOUSE THREAD METALLIC,€39.95,Elastane (Spandex),1,Synthetic
200003,BLOUSE SATIN FROG CLOSURES,€29.95,Viscose (Rayon),100,Synthetic
200004,BLOUSE PRINTED CROPPED,€19.95,Polyester,100,Synthetic
200005,BLOUSE PRINTED CROPPED,€19.95,Polyester,100,Synthetic
200006,BLOUSE PRINTED VELVET,€29.95,Polyester,100,Synthetic
